 * Serving Flask app "server.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://130.113.68.111:8000/ (Press CTRL+C to quit)
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=99 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=100 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=101 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=102 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=103 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=104 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=105 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=106 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=107 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=108 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=109 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=110 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=111 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=112 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=113 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=114 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=115 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=116 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=117 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:41] "GET /sendData?numData=1&type1=EC&id1=02&value1=118 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=119 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=120 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=121 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=122 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=123 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=124 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=125 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=126 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=127 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=128 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=129 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=130 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=131 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=132 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=133 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=134 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=135 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=136 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=137 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:42] "GET /sendData?numData=1&type1=EC&id1=02&value1=138 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=139 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=140 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=141 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=142 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=143 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=144 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=145 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=146 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=147 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:43] "GET /sendData?numData=1&type1=EC&id1=02&value1=148 HTTP/1.1" 200 -
